Title,Price,Rating,Price_Category
A Light in the Attic,51.77,3,Expensive
Tipping the Velvet,53.74,1,Expensive
Soumission,50.1,1,Expensive
Sharp Objects,47.82,4,Expensive
Sapiens: A Brief History of Humankind,54.23,5,Expensive
The Requiem Red,22.65,1,Medium
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,Medium
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,Cheap
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,Medium
The Black Maria,52.15,1,Expensive
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,Cheap
Shakespeare's Sonnets,20.66,4,Medium
Set Me Free,17.46,5,Cheap
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,Expensive
Rip it Up and Start Again,35.02,5,Medium
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,Expensive
Olio,23.88,1,Medium
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,Medium
Libertarianism for Beginners,51.33,2,Expensive
It's Only the Himalayas,45.17,2,Expensive
In Her Wake,12.84,1,Cheap
How Music Works,37.32,2,Medium
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,Medium
Chase Me (Paris Nights #2),25.27,5,Medium
Black Dust,34.53,5,Medium
Birdsong: A Story in Pictures,54.64,3,Expensive
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,Medium
Aladdin and His Wonderful Lamp,53.13,3,Expensive
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,Expensive
Wall and Piece,44.18,4,Expensive
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,Cheap
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,Medium
The Elephant Tree,23.82,5,Medium
The Bear and the Piano,36.89,1,Medium
Sophie's World,15.94,5,Cheap
Penny Maybe,33.29,3,Medium
Maude (1883-1993):She Grew Up with the country,18.02,2,Cheap
"In a Dark, Dark Wood",19.63,1,Cheap
Behind Closed Doors,52.22,4,Expensive
You can't bury them all: Poems,33.63,2,Medium
Slow States of Collapse: Poems,57.31,3,Expensive
Reasons to Stay Alive,26.41,2,Medium
Private Paris (Private #10),47.61,5,Expensive
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,Medium
Without Borders (Wanderlove #1),45.07,2,Expensive
When We Collided,31.77,1,Medium
"We Love You, Charlie Freeman",50.27,5,Expensive
Untitled Collection: Sabbath Poems 2014,14.27,4,Cheap
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,Expensive
Unicorn Tracks,18.78,3,Cheap
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,Medium
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,Cheap
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,Medium
This One Summer,19.49,4,Cheap
Thirst,17.27,5,Cheap
The Torch Is Passed: A Harding Family Story,19.09,1,Cheap
The Secret of Dreadwillow Carse,56.13,1,Expensive
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,Expensive
The Past Never Ends,56.5,4,Expensive
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,Expensive
The Nameless City (The Nameless City #1),38.16,4,Medium
The Murder That Never Was (Forensic Instincts #5),54.11,3,Expensive
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,Expensive
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,Medium
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,Cheap
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,Medium
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,Medium
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,Expensive
The Death of Humanity: and the Case for Life,58.11,4,Expensive
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,Expensive
The Art Forger,40.76,3,Expensive
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,Cheap
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,Medium
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,Expensive
Soul Reader,39.58,2,Medium
Security,39.25,2,Medium
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,Medium
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,Expensive
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,Cheap
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,Expensive
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,Cheap
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,Cheap
"Pop Gun War, Volume 1: Gift",18.97,1,Cheap
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,Medium
Patience,10.16,3,Cheap
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,Cheap
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,Expensive
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,Expensive
On a Midnight Clear,14.07,3,Cheap
Obsidian (Lux #1),14.86,2,Cheap
My Paris Kitchen: Recipes and Stories,33.37,2,Medium
Masks and Shadows,56.4,2,Expensive
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,Cheap
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,Expensive
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,Expensive
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,Cheap
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,Expensive
